selected,left,right,elapsed,,,
c_Tr,c_Tr,c_SpCo_R,1.935,,,
a_SatH_R,a_SatL_R,a_SatH_R,1.251,,,
c_SpCo_B,c_SpCo_B,c_An_G,1.318,,,
a_SpCo_B,a_SpCo_B,a_An_B,1.284,,,
a_Co_R,a_Co_R,a_An_G,3.12,,,
a_An_R,a_Co_G,a_An_R,0.8,,,
a_Warm,a_Cool,a_Warm,7.757,,,
c_SpCo_R,c_SpCo_R,c_Co_G,2.185,,,
c_Co_B,c_An_B,c_Co_B,0,,,
a_SpCo_G,a_An_G,a_SpCo_G,2.652,,,
a_CC,a_SpCo_G,a_CC,1.852,,,
c_An_B,c_An_B,c_SpCo_R,1.718,,,
a_An_B,a_An_R,a_An_B,0.985,,,
a_An_B,a_An_B,a_SpCo_R,0.917,,,
a_SpCo_B,a_SpCo_R,a_SpCo_B,2.118,,,
a_SatH_B,a_SatH_B,a_SatL_B,3.803,,,
a_CC,a_An_B,a_CC,5.755,,,
a_Co_B,a_Co_B,a_SpCo_R,1.369,,,
a_SpCo_B,a_Co_B,a_SpCo_B,1.201,,,
c_Co_G,c_Co_B,c_Co_G,3.136,,,
a_Co_R,a_Co_R,a_SpCo_R,2.752,,,
a_SpCo_B,a_An_B,a_SpCo_B,1.451,,,
c_CC,c_Co_R,c_CC,2.068,,,
a_Co_R,a_Co_R,a_SpCo_B,1.251,,,
a_SpCo_B,a_SpCo_B,a_SpCo_G,1.018,,,
a_SpCo_G,a_Co_G,a_SpCo_G,1.468,,,
c_Co_G,c_Co_G,c_SpCo_R,2.502,,,
a_Co_R,a_An_B,a_Co_R,1.352,,,
c_An_B,c_An_B,c_Tr,1.101,,,
